Date,Region,Service_Line,Industry,Revenue,Cost,Profit,Quarter
2024-10-30,APAC,Strategy Consulting,Healthcare,64954,30732,34222,Q4-2024
2025-03-13,Europe,Strategy Consulting,Energy,25719,10414,15304,Q1-2025
2024-07-12,Europe,Risk Advisory,Healthcare,31687,20056,11630,Q3-2024
2025-10-28,North America,Strategy Consulting,Energy,49776,24464,25311,Q4-2025
2024-01-28,Europe,Strategy Consulting,Energy,61236,21392,39843,Q1-2024
2024-10-17,APAC,Risk Advisory,Government,60715,39154,21560,Q4-2024
2025-10-22,Europe,Tech Implementation,Energy,47219,26246,20972,Q4-2025
2024-03-10,Europe,Strategy Consulting,Finance,15456,6749,8706,Q1-2024
2025-05-03,North America,Risk Advisory,Retail,13557,8069,5487,Q2-2025
2025-05-11,APAC,Tech Implementation,Finance,68932,40812,28119,Q2-2025
2025-04-30,North America,Tech Implementation,Healthcare,20266,11485,8780,Q2-2025
2025-04-11,North America,Risk Advisory,Energy,10892,7501,3390,Q2-2025
2024-12-06,APAC,Strategy Consulting,Healthcare,119154,57921,61232,Q4-2024
2024-12-13,APAC,Tech Implementation,Finance,34040,20215,13824,Q4-2024
2025-08-10,LATAM,Audit Services,Government,13438,11070,2368,Q3-2025
2025-03-06,Europe,Risk Advisory,Retail,8242,4743,3498,Q1-2025
2025-06-24,Europe,Audit Services,Energy,34192,27656,6535,Q2-2025
2025-04-27,LATAM,Audit Services,Finance,41750,37504,4246,Q2-2025
2024-12-10,LATAM,Audit Services,Healthcare,54336,48791,5544,Q4-2024
2025-06-18,APAC,Risk Advisory,Finance,10384,7740,2643,Q2-2025
2024-07-05,LATAM,Strategy Consulting,Energy,94966,37241,57725,Q3-2024
2024-12-05,North America,Strategy Consulting,Energy,67110,20218,46891,Q4-2024
2024-10-12,North America,Risk Advisory,Government,36668,21908,14759,Q4-2024
2024-01-03,LATAM,Risk Advisory,Energy,9212,6076,3135,Q1-2024
2025-01-24,APAC,Tech Implementation,Energy,59447,33128,26318,Q1-2025
2024-04-26,North America,Strategy Consulting,Healthcare,80268,33907,46360,Q2-2024
2025-05-18,LATAM,Tech Implementation,Retail,7214,5085,2128,Q2-2025
2025-12-27,APAC,Audit Services,Government,6895,6199,695,Q4-2025
2024-04-25,Europe,Strategy Consulting,Energy,115399,35321,80078,Q2-2024
2025-03-16,Europe,Audit Services,Healthcare,30452,24408,6044,Q1-2025
2024-05-02,LATAM,Risk Advisory,Finance,16811,10228,6582,Q2-2024
2025-06-14,Europe,Strategy Consulting,Energy,61894,20823,41070,Q2-2025
2025-07-21,North America,Strategy Consulting,Healthcare,37803,18749,19053,Q3-2025
2024-09-14,LATAM,Risk Advisory,Healthcare,23372,16786,6585,Q3-2024
2024-11-08,North America,Strategy Consulting,Retail,104607,34880,69726,Q4-2024
2025-07-23,APAC,Strategy Consulting,Finance,38712,14102,24609,Q3-2025
2024-10-21,APAC,Strategy Consulting,Retail,39187,18437,20749,Q4-2024
2025-02-17,LATAM,Strategy Consulting,Finance,117417,52311,65105,Q1-2025
2025-07-05,Europe,Risk Advisory,Energy,42685,27892,14792,Q3-2025
2024-06-18,North America,Audit Services,Energy,18132,14991,3140,Q2-2024
2025-01-07,Europe,Strategy Consulting,Government,16897,6521,10376,Q1-2025
2025-11-23,Europe,Risk Advisory,Retail,25049,14717,10331,Q4-2025
2024-09-17,Europe,Audit Services,Energy,47379,38927,8452,Q3-2024
2024-06-13,LATAM,Audit Services,Government,34692,27636,7055,Q2-2024
2024-12-10,APAC,Tech Implementation,Finance,50171,35140,15030,Q4-2024
2025-01-24,Europe,Tech Implementation,Government,62621,35125,27495,Q1-2025
2025-04-10,APAC,Risk Advisory,Finance,68843,43800,25042,Q2-2025
2024-04-20,APAC,Risk Advisory,Energy,42613,27784,14828,Q2-2024
2025-09-28,North America,Audit Services,Healthcare,62699,51996,10703,Q3-2025
2024-01-07,APAC,Risk Advisory,Government,64580,37807,26772,Q1-2024
2024-09-22,Europe,Tech Implementation,Retail,42636,29982,12653,Q3-2024
2025-06-09,LATAM,Risk Advisory,Government,39663,29263,10399,Q2-2025
2025-07-28,Europe,Strategy Consulting,Government,62949,25119,37829,Q3-2025
2024-11-03,North America,Tech Implementation,Retail,48988,31831,17156,Q4-2024
2025-07-24,APAC,Tech Implementation,Government,15174,9795,5378,Q3-2025
2024-06-07,APAC,Strategy Consulting,Energy,109573,37126,72446,Q2-2024
2025-10-08,APAC,Risk Advisory,Healthcare,77676,55479,22196,Q4-2025
2024-03-13,LATAM,Audit Services,Energy,49033,42763,6270,Q1-2024
2025-10-11,North America,Strategy Consulting,Finance,32244,13720,18523,Q4-2025
2025-12-22,North America,Risk Advisory,Energy,13005,7678,5326,Q4-2025
2024-08-29,APAC,Strategy Consulting,Energy,67111,29581,37530,Q3-2024
2024-06-26,LATAM,Risk Advisory,Retail,52546,35647,16898,Q2-2024
2025-03-21,LATAM,Audit Services,Retail,58069,49798,8271,Q1-2025
2024-02-13,North America,Strategy Consulting,Government,43537,17278,26259,Q1-2024
2025-09-26,Europe,Tech Implementation,Energy,61223,45771,15451,Q3-2025
2025-10-24,Europe,Risk Advisory,Finance,20542,13033,7508,Q4-2025
2024-11-21,North America,Tech Implementation,Finance,10382,7733,2648,Q4-2024
2025-08-29,APAC,Audit Services,Energy,19808,17424,2384,Q3-2025
2024-07-15,APAC,Strategy Consulting,Government,100645,44328,56317,Q3-2024
2024-02-24,North America,Risk Advisory,Finance,33874,22346,11527,Q1-2024
2025-09-14,North America,Strategy Consulting,Retail,26923,10834,16088,Q3-2025
2025-05-13,North America,Risk Advisory,Energy,11539,8353,3185,Q2-2025
2025-02-05,Europe,Strategy Consulting,Finance,34140,16109,18030,Q1-2025
2025-08-06,LATAM,Tech Implementation,Healthcare,24652,15201,9450,Q3-2025
2025-08-07,North America,Risk Advisory,Government,37417,26662,10754,Q3-2025
2024-07-13,Europe,Strategy Consulting,Energy,13177,6173,7003,Q3-2024
2024-11-13,APAC,Audit Services,Retail,47167,37105,10062,Q4-2024
2024-01-23,APAC,Strategy Consulting,Healthcare,105961,49443,56517,Q1-2024
2025-03-02,LATAM,Tech Implementation,Energy,21700,13328,8371,Q1-2025
2025-04-10,Europe,Strategy Consulting,Finance,13861,4782,9078,Q2-2025
2025-01-20,APAC,Audit Services,Energy,27494,22342,5151,Q1-2025
2024-12-25,APAC,Tech Implementation,Energy,58416,33386,25029,Q4-2024
2024-05-24,Europe,Risk Advisory,Finance,23683,16044,7638,Q2-2024
2025-11-23,North America,Tech Implementation,Finance,17680,12266,5413,Q4-2025
2025-06-08,Europe,Strategy Consulting,Finance,30499,14326,16172,Q2-2025
2024-05-09,Europe,Strategy Consulting,Retail,38569,15621,22948,Q2-2024
2025-06-13,LATAM,Tech Implementation,Retail,60377,37869,22507,Q2-2025
2025-12-31,APAC,Risk Advisory,Government,34553,22954,11598,Q4-2025
2025-05-15,Europe,Risk Advisory,Energy,34508,19114,15393,Q2-2025
2024-06-22,Europe,Risk Advisory,Energy,11505,6338,5166,Q2-2024
2025-07-01,LATAM,Strategy Consulting,Energy,59007,24439,34567,Q3-2025
2024-09-15,Europe,Strategy Consulting,Finance,112435,38828,73607,Q3-2024
2024-02-13,LATAM,Risk Advisory,Healthcare,49090,30072,19017,Q1-2024
2024-02-19,APAC,Audit Services,Finance,22775,19219,3555,Q1-2024
2024-09-21,LATAM,Risk Advisory,Healthcare,25636,18097,7538,Q3-2024
2025-12-21,LATAM,Risk Advisory,Healthcare,79759,51996,27762,Q4-2025
2025-10-22,APAC,Tech Implementation,Healthcare,63966,39175,24790,Q4-2025
2024-05-21,North America,Risk Advisory,Finance,14513,9053,5459,Q2-2024
2024-09-07,APAC,Risk Advisory,Retail,69447,42126,27320,Q3-2024
2024-12-06,APAC,Tech Implementation,Energy,64038,45354,18683,Q4-2024
2025-07-06,Europe,Audit Services,Energy,20946,16759,4186,Q3-2025
2025-03-06,Europe,Risk Advisory,Retail,55617,31342,24274,Q1-2025
2024-01-24,APAC,Tech Implementation,Government,48667,36359,12307,Q1-2024
2025-09-16,North America,Audit Services,Finance,58220,49253,8966,Q3-2025
2025-12-05,LATAM,Tech Implementation,Healthcare,31447,23519,7927,Q4-2025
2024-06-02,LATAM,Risk Advisory,Retail,5607,3537,2069,Q2-2024
2024-08-12,LATAM,Strategy Consulting,Government,64339,29902,34437,Q3-2024
2025-02-04,Europe,Risk Advisory,Finance,24942,14982,9959,Q1-2025
2024-05-15,APAC,Strategy Consulting,Healthcare,68514,32982,35531,Q2-2024
2024-04-02,North America,Tech Implementation,Government,63848,45600,18247,Q2-2024
2025-07-28,LATAM,Audit Services,Finance,7802,5882,1919,Q3-2025
2025-02-05,LATAM,Tech Implementation,Finance,70943,42805,28137,Q1-2025
2024-10-12,APAC,Risk Advisory,Government,75706,46118,29587,Q4-2024
2025-12-04,North America,Audit Services,Energy,27962,24657,3305,Q4-2025
2024-08-07,Europe,Audit Services,Finance,24288,18962,5325,Q3-2024
2025-05-03,LATAM,Risk Advisory,Government,51270,34209,17060,Q2-2025
2025-02-27,North America,Strategy Consulting,Healthcare,39790,16718,23072,Q1-2025
2025-07-22,North America,Tech Implementation,Energy,5960,3636,2323,Q3-2025
2024-12-21,LATAM,Audit Services,Government,25782,22354,3428,Q4-2024
2025-02-27,LATAM,Audit Services,Retail,6996,5419,1577,Q1-2025
2025-06-18,North America,Tech Implementation,Finance,30839,19123,11715,Q2-2025
2024-09-26,APAC,Tech Implementation,Government,17687,12279,5407,Q3-2024
2025-01-07,APAC,Strategy Consulting,Government,92430,40270,52159,Q1-2025
2024-03-01,LATAM,Tech Implementation,Healthcare,47304,30796,16507,Q1-2024
2024-03-10,LATAM,Tech Implementation,Retail,39051,25879,13171,Q1-2024
2024-03-03,Europe,Strategy Consulting,Government,24906,9907,14998,Q1-2024
2025-04-20,APAC,Risk Advisory,Finance,77460,44163,33296,Q2-2025
2024-03-28,APAC,Risk Advisory,Retail,32028,17871,14156,Q1-2024
2024-12-18,North America,Risk Advisory,Healthcare,63382,35148,28233,Q4-2024
2025-12-14,North America,Risk Advisory,Healthcare,11796,7163,4632,Q4-2025
2024-09-09,LATAM,Strategy Consulting,Healthcare,109722,42957,66764,Q3-2024
2025-11-29,North America,Tech Implementation,Finance,34875,25284,9590,Q4-2025
2025-11-08,North America,Strategy Consulting,Retail,56802,18391,38410,Q4-2025
2024-06-19,APAC,Risk Advisory,Finance,62426,34813,27612,Q2-2024
2024-04-09,Europe,Risk Advisory,Healthcare,70109,51382,18726,Q2-2024
2024-10-02,North America,Audit Services,Retail,40092,35498,4593,Q4-2024
2024-05-03,APAC,Strategy Consulting,Finance,30667,11157,19509,Q2-2024
2025-04-13,North America,Risk Advisory,Healthcare,13520,9685,3834,Q2-2025
2025-05-02,APAC,Strategy Consulting,Government,10657,5160,5497,Q2-2025
2025-02-26,LATAM,Audit Services,Government,63975,50301,13673,Q1-2025
2025-02-15,North America,Audit Services,Healthcare,25656,22117,3538,Q1-2025
2024-12-12,Europe,Strategy Consulting,Energy,35052,12883,22168,Q4-2024
2025-08-28,Europe,Tech Implementation,Retail,15189,10841,4347,Q3-2025
2024-12-24,North America,Risk Advisory,Retail,21336,15666,5669,Q4-2024
2025-04-06,Europe,Risk Advisory,Government,74203,42317,31885,Q2-2025
2024-04-19,LATAM,Strategy Consulting,Finance,45730,21178,24551,Q2-2024
2025-03-16,APAC,Risk Advisory,Retail,70463,43763,26699,Q1-2025
2025-01-06,Europe,Tech Implementation,Finance,31423,17307,14115,Q1-2025
2024-08-15,North America,Risk Advisory,Government,20570,11887,8682,Q3-2024
2025-06-13,APAC,Tech Implementation,Finance,12788,8604,4183,Q2-2025
2024-12-28,APAC,Risk Advisory,Finance,33548,21722,11825,Q4-2024
2025-01-21,APAC,Tech Implementation,Retail,76543,45830,30712,Q1-2025
2024-09-30,LATAM,Risk Advisory,Government,51633,28718,22914,Q3-2024
2025-10-06,Europe,Tech Implementation,Government,57109,33576,23532,Q4-2025
2024-12-08,Europe,Tech Implementation,Retail,26322,16690,9631,Q4-2024
2025-03-16,LATAM,Audit Services,Healthcare,32627,24767,7859,Q1-2025
2025-01-28,Europe,Audit Services,Energy,58889,50749,8140,Q1-2025
2025-03-30,North America,Tech Implementation,Retail,63463,46799,16663,Q1-2025
2025-03-06,LATAM,Strategy Consulting,Energy,55695,23192,32502,Q1-2025
2024-06-16,APAC,Risk Advisory,Finance,68941,44488,24452,Q2-2024
2025-11-04,APAC,Risk Advisory,Retail,12628,8756,3871,Q4-2025
2025-09-28,APAC,Strategy Consulting,Finance,9609,3309,6299,Q3-2025
2025-01-10,APAC,Audit Services,Energy,60164,47681,12483,Q1-2025
2024-09-14,North America,Audit Services,Retail,29736,24367,5368,Q3-2024
2024-09-29,North America,Tech Implementation,Energy,74527,43153,31373,Q3-2024
2024-04-12,LATAM,Strategy Consulting,Retail,55051,22436,32615,Q2-2024
2025-02-25,LATAM,Strategy Consulting,Healthcare,82782,31630,51151,Q1-2025
2025-07-12,Europe,Risk Advisory,Energy,34728,20159,14568,Q3-2025
2025-05-30,North America,Tech Implementation,Retail,15610,8835,6774,Q2-2025
2025-08-05,LATAM,Audit Services,Retail,11712,9685,2027,Q3-2025
2025-05-24,North America,Audit Services,Healthcare,26761,20350,6411,Q2-2025
2025-02-23,Europe,Audit Services,Energy,23927,19451,4475,Q1-2025
2025-06-28,LATAM,Risk Advisory,Healthcare,9692,5367,4324,Q2-2025
2024-10-05,North America,Audit Services,Retail,62552,47065,15487,Q4-2024
2025-06-23,Europe,Audit Services,Energy,46004,41245,4758,Q2-2025
2024-02-13,LATAM,Risk Advisory,Retail,24133,18095,6037,Q1-2024
2024-10-05,APAC,Tech Implementation,Energy,31192,21305,9886,Q4-2024
2024-09-01,Europe,Tech Implementation,Government,73173,50777,22395,Q3-2024
2025-01-06,Europe,Audit Services,Energy,58797,44608,14189,Q1-2025
2024-10-05,Europe,Strategy Consulting,Energy,26755,10572,16182,Q4-2024
2025-08-05,Europe,Tech Implementation,Energy,16958,10351,6606,Q3-2025
2025-12-09,North America,Risk Advisory,Finance,48377,35359,13017,Q4-2025
2024-05-24,APAC,Audit Services,Healthcare,49780,42668,7111,Q2-2024
2024-03-14,North America,Tech Implementation,Finance,58499,43367,15131,Q1-2024
2025-03-15,Europe,Risk Advisory,Finance,55619,37324,18294,Q1-2025
2024-10-16,North America,Risk Advisory,Healthcare,77322,46492,30829,Q4-2024
2025-01-24,LATAM,Risk Advisory,Retail,67226,39607,27618,Q1-2025
2025-06-10,Europe,Tech Implementation,Finance,66589,40074,26514,Q2-2025
2025-07-21,North America,Risk Advisory,Healthcare,61224,33978,27245,Q3-2025
2025-08-12,LATAM,Risk Advisory,Energy,55830,37617,18212,Q3-2025
2024-11-10,Europe,Risk Advisory,Government,57804,39887,17916,Q4-2024
2024-02-01,Europe,Tech Implementation,Government,21951,13006,8944,Q1-2024
2024-12-01,APAC,Audit Services,Retail,59709,45878,13831,Q4-2024
2025-03-15,Europe,Audit Services,Retail,43263,32730,10532,Q1-2025
2025-05-23,Europe,Strategy Consulting,Government,95050,33325,61724,Q2-2025
2025-06-26,APAC,Risk Advisory,Finance,65108,40456,24651,Q2-2025
2024-07-12,North America,Tech Implementation,Government,36130,21129,15000,Q3-2024
2025-09-19,Europe,Tech Implementation,Healthcare,72658,43648,29009,Q3-2025
2024-07-23,LATAM,Tech Implementation,Retail,13272,8839,4432,Q3-2024
2024-04-29,Europe,Audit Services,Healthcare,28271,23250,5021,Q2-2024
2025-12-21,APAC,Audit Services,Finance,16052,13749,2302,Q4-2025
2025-07-26,LATAM,Tech Implementation,Government,52892,31851,21040,Q3-2025
2025-10-12,LATAM,Tech Implementation,Energy,28633,18546,10086,Q4-2025
2025-08-18,LATAM,Tech Implementation,Government,20865,13354,7510,Q3-2025
2025-10-14,LATAM,Risk Advisory,Healthcare,37019,26225,10793,Q4-2025
2024-05-09,LATAM,Strategy Consulting,Government,21967,7645,14322,Q2-2024
2024-12-20,Europe,Risk Advisory,Retail,53671,37200,16470,Q4-2024
2024-11-16,Europe,Strategy Consulting,Government,64381,20273,44107,Q4-2024
2024-05-26,APAC,Tech Implementation,Energy,37585,24112,13472,Q2-2024
2025-02-09,APAC,Strategy Consulting,Government,10015,3672,6343,Q1-2025
2024-01-28,LATAM,Audit Services,Energy,19430,16862,2568,Q1-2024
2025-04-14,North America,Audit Services,Government,59740,45933,13807,Q2-2025
2025-12-01,LATAM,Risk Advisory,Energy,31423,23471,7951,Q4-2025
2025-09-27,APAC,Tech Implementation,Healthcare,72259,43626,28632,Q3-2025
2024-04-24,LATAM,Audit Services,Energy,57372,51292,6080,Q2-2024
2025-08-16,Europe,Strategy Consulting,Government,76432,30885,45546,Q3-2025
2024-10-01,LATAM,Risk Advisory,Healthcare,7392,4892,2499,Q4-2024
2025-11-07,North America,Audit Services,Finance,43118,37366,5751,Q4-2025
2024-05-26,LATAM,Risk Advisory,Retail,62461,40227,22233,Q2-2024
2024-06-04,North America,Audit Services,Government,25164,21953,3210,Q2-2024
2024-10-14,LATAM,Audit Services,Finance,22022,16752,5270,Q4-2024
2024-10-09,APAC,Tech Implementation,Finance,33260,24938,8321,Q4-2024
2025-10-07,LATAM,Risk Advisory,Finance,22561,16161,6399,Q4-2025
2024-02-16,APAC,Tech Implementation,Government,13984,9935,4048,Q1-2024
2024-08-22,North America,Risk Advisory,Retail,62277,43874,18402,Q3-2024
2025-12-23,North America,Tech Implementation,Government,60951,44114,16836,Q4-2025
2025-09-11,North America,Audit Services,Healthcare,45003,34037,10965,Q3-2025
2024-01-15,North America,Strategy Consulting,Finance,36445,17368,19076,Q1-2024
2024-07-08,North America,Tech Implementation,Energy,64183,37997,26185,Q3-2024
2025-06-20,Europe,Strategy Consulting,Healthcare,111759,40333,71425,Q2-2025
2024-05-17,APAC,Strategy Consulting,Finance,9235,3934,5301,Q2-2024
2024-01-14,Europe,Strategy Consulting,Healthcare,28957,11556,17400,Q1-2024
2024-03-16,Europe,Risk Advisory,Retail,11070,6883,4186,Q1-2024
2024-05-03,APAC,Risk Advisory,Energy,24160,15986,8173,Q2-2024
2024-12-07,North America,Risk Advisory,Government,65512,39593,25918,Q4-2024
2025-08-06,APAC,Tech Implementation,Retail,77564,53005,24558,Q3-2025
2024-05-12,LATAM,Risk Advisory,Government,29538,22109,7428,Q2-2024
2025-02-04,Europe,Audit Services,Energy,11315,9825,1489,Q1-2025
2025-10-17,APAC,Risk Advisory,Government,36962,23165,13796,Q4-2025
2025-07-22,LATAM,Tech Implementation,Finance,8703,5511,3191,Q3-2025
2024-05-07,APAC,Strategy Consulting,Government,101151,43344,57806,Q2-2024
2024-07-31,North America,Strategy Consulting,Government,24250,7993,16256,Q3-2024
2025-10-12,APAC,Risk Advisory,Energy,58425,40479,17945,Q4-2025
2024-05-21,LATAM,Risk Advisory,Retail,5291,3404,1886,Q2-2024
2024-07-24,LATAM,Tech Implementation,Finance,16597,11458,5138,Q3-2024
2024-08-10,Europe,Risk Advisory,Retail,15373,8965,6407,Q3-2024
2025-03-31,APAC,Audit Services,Energy,54897,45525,9371,Q1-2025
2025-05-28,LATAM,Tech Implementation,Government,67568,46497,21070,Q2-2025
2024-02-10,LATAM,Audit Services,Energy,56322,49681,6640,Q1-2024
2025-06-25,Europe,Tech Implementation,Healthcare,43808,25139,18668,Q2-2025
2025-10-09,LATAM,Risk Advisory,Finance,71716,47928,23787,Q4-2025
2025-02-25,North America,Audit Services,Healthcare,10919,8275,2644,Q1-2025
2025-09-24,APAC,Tech Implementation,Finance,63185,36720,26464,Q3-2025
2025-05-04,APAC,Tech Implementation,Government,32832,23999,8832,Q2-2025
2024-10-30,Europe,Tech Implementation,Finance,19435,12454,6980,Q4-2024
2025-02-03,Europe,Risk Advisory,Retail,21178,13660,7517,Q1-2025
2025-05-30,North America,Tech Implementation,Healthcare,46091,25462,20628,Q2-2025
2025-03-24,LATAM,Risk Advisory,Healthcare,63766,40261,23504,Q1-2025
2024-08-02,LATAM,Tech Implementation,Retail,67946,37769,30176,Q3-2024
2024-03-10,APAC,Audit Services,Retail,4790,3873,917,Q1-2024
2024-09-12,APAC,Audit Services,Healthcare,19824,15606,4218,Q3-2024
2024-07-30,Europe,Tech Implementation,Retail,39166,25372,13793,Q3-2024
2024-12-16,LATAM,Strategy Consulting,Finance,8262,3349,4912,Q4-2024
2025-04-03,Europe,Strategy Consulting,Retail,97432,43282,54150,Q2-2025
2024-03-01,Europe,Risk Advisory,Finance,72240,40980,31259,Q1-2024
2024-08-20,APAC,Risk Advisory,Finance,25662,17425,8236,Q3-2024
2024-08-20,Europe,Strategy Consulting,Retail,53527,25657,27869,Q3-2024
2025-09-06,Europe,Audit Services,Finance,38160,28874,9286,Q3-2025
2025-11-22,APAC,Strategy Consulting,Government,23365,9570,13795,Q4-2025
2024-02-20,LATAM,Tech Implementation,Government,43522,30392,13129,Q1-2024
2024-02-16,LATAM,Audit Services,Healthcare,26301,22701,3600,Q1-2024
2025-02-09,LATAM,Risk Advisory,Healthcare,26220,14707,11512,Q1-2025
2024-11-23,LATAM,Strategy Consulting,Energy,104227,50577,53649,Q4-2024
2024-08-21,North America,Strategy Consulting,Healthcare,119958,46289,73668,Q3-2024
2025-07-04,LATAM,Tech Implementation,Finance,11153,8272,2880,Q3-2025
2025-03-30,Europe,Strategy Consulting,Retail,103810,41207,62602,Q1-2025
2025-09-03,LATAM,Risk Advisory,Healthcare,5916,3477,2438,Q3-2025
2025-10-01,LATAM,Tech Implementation,Energy,76135,56143,19991,Q4-2025
2025-07-12,APAC,Risk Advisory,Healthcare,49107,32592,16514,Q3-2025
2025-12-27,North America,Risk Advisory,Finance,73796,44381,29414,Q4-2025
2024-08-27,Europe,Audit Services,Finance,54776,41512,13264,Q3-2024
2024-04-22,North America,Audit Services,Government,30440,23080,7360,Q2-2024
2025-04-27,Europe,Risk Advisory,Retail,77739,45226,32512,Q2-2025
2024-07-03,Europe,Strategy Consulting,Retail,18195,7344,10850,Q3-2024
2024-02-22,Europe,Audit Services,Finance,56002,47024,8977,Q1-2024
2024-11-23,North America,Strategy Consulting,Finance,35284,13102,22181,Q4-2024
2024-12-23,LATAM,Strategy Consulting,Retail,78916,31356,47559,Q4-2024
2024-05-09,APAC,Tech Implementation,Government,44703,25879,18823,Q2-2024
2025-08-05,North America,Tech Implementation,Energy,66940,41945,24994,Q3-2025
2025-10-09,LATAM,Strategy Consulting,Healthcare,27540,10811,16728,Q4-2025
2025-04-09,LATAM,Tech Implementation,Government,37604,20880,16723,Q2-2025
2024-10-21,APAC,Tech Implementation,Finance,35923,21094,14828,Q4-2024
2025-12-26,LATAM,Audit Services,Finance,58428,47719,10708,Q4-2025
2025-05-28,LATAM,Risk Advisory,Finance,22578,12892,9685,Q2-2025
2025-10-04,APAC,Strategy Consulting,Finance,37485,13547,23937,Q4-2025
2024-07-19,LATAM,Risk Advisory,Energy,36727,27139,9587,Q3-2024
2025-12-25,LATAM,Tech Implementation,Government,44043,25509,18533,Q4-2025
2024-10-04,North America,Risk Advisory,Finance,46427,31206,15220,Q4-2024
2024-12-12,APAC,Strategy Consulting,Government,89298,40556,48741,Q4-2024
2025-01-06,North America,Tech Implementation,Energy,28578,19225,9352,Q1-2025
2024-08-16,APAC,Audit Services,Government,21655,19410,2244,Q3-2024
2024-04-09,APAC,Risk Advisory,Retail,77769,45754,32014,Q2-2024
2024-08-17,Europe,Tech Implementation,Finance,15986,11507,4478,Q3-2024
2024-11-26,APAC,Tech Implementation,Healthcare,14733,9194,5538,Q4-2024
2024-10-03,APAC,Tech Implementation,Finance,17828,12507,5320,Q4-2024
2024-06-25,APAC,Risk Advisory,Government,42449,30080,12368,Q2-2024
2024-11-09,Europe,Strategy Consulting,Finance,30958,15242,15716,Q4-2024
2024-03-27,Europe,Audit Services,Healthcare,55300,45418,9882,Q1-2024
2025-12-27,LATAM,Tech Implementation,Retail,35474,24033,11440,Q4-2025
2025-08-02,North America,Audit Services,Energy,29348,22990,6358,Q3-2025
2024-01-15,Europe,Tech Implementation,Energy,44208,25355,18852,Q1-2024
2024-05-24,North America,Strategy Consulting,Healthcare,49656,17383,32272,Q2-2024
2024-11-30,North America,Tech Implementation,Government,20490,11288,9201,Q4-2024
2024-10-24,Europe,Strategy Consulting,Finance,110974,51209,59764,Q4-2024
2025-04-08,LATAM,Tech Implementation,Finance,26320,16083,10236,Q2-2025
2024-01-29,Europe,Audit Services,Retail,28942,24216,4726,Q1-2024
2025-05-22,Europe,Risk Advisory,Government,43193,27999,15193,Q2-2025
2025-05-25,APAC,Risk Advisory,Retail,50627,31357,19269,Q2-2025
2025-12-14,North America,Strategy Consulting,Healthcare,84441,25698,58742,Q4-2025
2024-04-29,APAC,Strategy Consulting,Finance,94720,42888,51832,Q2-2024
2024-08-15,APAC,Risk Advisory,Government,13138,9556,3581,Q3-2024
2025-11-30,APAC,Strategy Consulting,Energy,101454,42394,59059,Q4-2025
2024-10-29,APAC,Risk Advisory,Finance,33181,21596,11584,Q4-2024
2024-09-25,LATAM,Strategy Consulting,Energy,64840,19903,44937,Q3-2024
2024-06-04,LATAM,Audit Services,Government,28943,22513,6429,Q2-2024
2024-11-06,APAC,Risk Advisory,Energy,59622,41374,18247,Q4-2024
2024-02-27,Europe,Risk Advisory,Retail,76606,53884,22721,Q1-2024
2025-12-29,APAC,Audit Services,Healthcare,47055,41684,5370,Q4-2025
2024-03-19,LATAM,Strategy Consulting,Energy,36303,15730,20572,Q1-2024
2025-10-13,APAC,Strategy Consulting,Healthcare,73380,29375,44004,Q4-2025
2024-09-16,APAC,Strategy Consulting,Retail,97704,45989,51714,Q3-2024
2024-05-04,Europe,Tech Implementation,Retail,43456,26756,16699,Q2-2024
2025-03-03,North America,Strategy Consulting,Finance,22351,7348,15003,Q1-2025
2024-05-24,LATAM,Audit Services,Finance,31522,27950,3571,Q2-2024
2024-10-30,LATAM,Tech Implementation,Healthcare,76798,56016,20781,Q4-2024
2025-01-27,North America,Risk Advisory,Finance,58523,38830,19692,Q1-2025
2024-10-24,APAC,Risk Advisory,Finance,9834,6824,3009,Q4-2024
2024-01-15,LATAM,Risk Advisory,Healthcare,18630,13363,5266,Q1-2024
2025-01-20,APAC,Tech Implementation,Government,42570,28184,14385,Q1-2025
2024-08-21,APAC,Risk Advisory,Finance,30278,18872,11405,Q3-2024
2024-08-16,Europe,Risk Advisory,Healthcare,68906,49008,19897,Q3-2024
2025-03-03,North America,Tech Implementation,Government,33455,24359,9095,Q1-2025
2024-10-16,APAC,Tech Implementation,Energy,75514,54666,20847,Q4-2024
2025-03-06,North America,Tech Implementation,Government,69670,39086,30583,Q1-2025
2025-09-04,Europe,Strategy Consulting,Government,63664,31707,31957,Q3-2025
2025-07-20,LATAM,Audit Services,Healthcare,40071,33724,6346,Q3-2025
2025-02-24,North America,Risk Advisory,Finance,72464,47045,25418,Q1-2025
2024-04-15,APAC,Strategy Consulting,Government,108319,39024,69294,Q2-2024
2025-11-02,LATAM,Audit Services,Healthcare,27446,20826,6619,Q4-2025
2025-07-31,APAC,Risk Advisory,Retail,66687,41649,25037,Q3-2025
2025-06-18,Europe,Audit Services,Energy,13688,11731,1956,Q2-2025
2024-11-01,Europe,Strategy Consulting,Finance,18264,9083,9180,Q4-2024
2024-04-26,LATAM,Strategy Consulting,Government,63523,29061,34461,Q2-2024
2025-09-09,APAC,Risk Advisory,Finance,59342,35511,23830,Q3-2025
2024-03-18,APAC,Risk Advisory,Energy,9993,5689,4303,Q1-2024
2024-02-25,APAC,Audit Services,Energy,23701,21136,2565,Q1-2024
2024-01-12,North America,Strategy Consulting,Healthcare,55384,23668,31716,Q1-2024
